User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Partner_Priorities 2,Partner_Priorities 3
32,20,Male,Bangalore,Graduate,Full-time Job,Hinge,OkCupid,Monthly,1.00.00,Finding a Partner,3,Time-Wasting,Detailed Profiles,Voice Notes,Values , Personality , Appearance
33,24,Female,Delhi,Graduate,Part-time Job,NA,OkCupid,Weekly,00.30.00,Casual Dating,3,Time-Wasting,Detailed Profiles,Text,Personality , Interests , Values
34,25,Male,Kolkata,Graduate,Full-time Job,NA,Hinge,Weekly,03.00.00,Finding a Partner,5,Time-Wasting,Location-Based Matching,Voice Notes,Appearance , Interests , Personality
35,21,Female,Delhi,Graduate,Full-time Job,Bumble,OkCupid,Daily,02.00.00,Casual Dating,3,Safety Concerns,Audio Calls,Voice Notes,Values , Personality , Appearance
36,22,Others,Mumbai,Postgraduate,Part-time Job,NA,Hinge,Monthly,00.30.00,Finding a Partner,3,Lack of Genuine Matches,AI Recommendations,Text,Appearance , Interests , Personality
37,22,Female,Kolkata,Undergraduate,Intern,Bumble,None,Monthly,1.00.00,Finding a Partner,3,Safety Concerns,Video Calls,Voice Notes,Personality , Interests , Values
38,20,Female,Mumbai,Undergraduate,Full-time Job,Hinge,Tinder,Daily,01.30.00,Finding a Partner,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance , Interests , Personality
39,21,Male,Delhi,Postgraduate,Full-time Job,Bumble,Tinder,Daily,1.00.00,Casual Fun,1,Safety Concerns,Location-Based Matching,Voice Notes,Personality , Interests , Values
40,18,Male,Kolkata,Graduate,Intern,Tinder,Bumble,Weekly,1.00.00,Social Interaction,5,None,Audio Calls,Video Calls,Appearance , Interests , Personality
41,24,Male,Bangalore,Undergraduate,Student,Bumble,Tinder,Daily,01.30.00,Finding a Partner,3,Time-Wasting,Video Calls,Video Calls,Values , Personality , Appearance
42,19,Female,Pune,Postgraduate,Part-time Job,NA,Tinder,Weekly,02.00.00,Casual Dating,2,Safety Concerns,Detailed Profiles,Voice Notes,Values , Personality , Appearance
43,19,Female,Bangalore,Graduate,Part-time Job,OkCupid,OkCupid,Weekly,02.00.00,Social Interaction,4,None,Location-Based Matching,Voice Notes,Values , Personality , Appearance
44,23,Female,Delhi,Postgraduate,Freelancer,Tinder,Hinge,Weekly,02.00.00,Casual Fun,5,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality , Interests , Values
45,21,Male,Delhi,Undergraduate,Student,Tinder,None,Daily,01.30.00,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Text,Values , Personality , Appearance
46,19,Female,Hyderabad,Graduate,Intern,NA,OkCupid,Weekly,02.00.00,Casual Dating,5,Safety Concerns,Audio Calls,Video Calls,Values , Personality , Appearance
47,21,Male,Kolkata,Graduate,Intern,OkCupid,Hinge,Daily,01.30.00,Finding a Partner,1,None,Video Calls,Video Calls,Values , Personality , Appearance
48,24,Others,Bangalore,Undergraduate,Full-time Job,Bumble,None,Weekly,02.00.00,Finding a Partner,2,Time-Wasting,Location-Based Matching,Voice Notes,Values , Personality , Appearance
49,21,Male,Bangalore,Postgraduate,Student,OkCupid,None,Weekly,00.30.00,Casual Fun,3,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance , Interests , Personality
50,19,Male,Kolkata,Postgraduate,Full-time Job,Bumble,None,Weekly,00.30.00,Casual Dating,2,None,AI Recommendations,Voice Notes,Appearance , Interests , Personality
51,19,Female,Pune,Postgraduate,Freelancer,Bumble,Tinder,Monthly,1.00.00,Social Interaction,5,None,Video Calls,Voice Notes,Personality , Interests , Values
52,25,Others,Delhi,Graduate,Part-time Job,Tinder,OkCupid,Daily,03.00.00,Finding a Partner,2,Time-Wasting,Detailed Profiles,Video Calls,Appearance , Interests , Personality
53,25,Male,Mumbai,Graduate,Full-time Job,Bumble,Tinder,Daily,01.30.00,Casual Fun,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance , Interests , Personality
54,18,Male,Delhi,Postgraduate,Student,Hinge,OkCupid,Weekly,03.00.00,Social Interaction,5,Safety Concerns,AI Recommendations,Video Calls,Appearance , Interests , Personality
55,22,Others,Mumbai,Undergraduate,Freelancer,Hinge,OkCupid,Monthly,03.00.00,Finding a Partner,3,None,Location-Based Matching,Voice Notes,Values , Personality , Appearance
56,20,Others,Mumbai,Undergraduate,Intern,NA,Hinge,Weekly,01.30.00,Finding a Partner,5,None,Video Calls,Video Calls,Appearance , Interests , Personality
57,23,Others,Delhi,Postgraduate,Freelancer,Tinder,Bumble,Daily,01.30.00,Social Interaction,3,None,Location-Based Matching,Video Calls,Values , Personality , Appearance
58,19,Female,Mumbai,Postgraduate,Student,OkCupid,None,Daily,02.00.00,Casual Fun,3,Time-Wasting,Location-Based Matching,Video Calls,Personality , Interests , Values
59,19,Female,Pune,Postgraduate,Student,OkCupid,Bumble,Daily,03.00.00,Casual Fun,5,None,AI Recommendations,Voice Notes,Appearance , Interests , Personality
60,22,Male,Chennai,Undergraduate,Full-time Job,OkCupid,Bumble,Monthly,03.00.00,Social Interaction,1,Time-Wasting,Video Calls,Video Calls,Values , Personality , Appearance
61,22,Others,Bangalore,Undergraduate,Intern,OkCupid,Hinge,Weekly,00.30.00,Casual Dating,4,Safety Concerns,Detailed Profiles,Video Calls,Values , Personality , Appearance
62,24,Female,Bangalore,Postgraduate,Freelancer,Tinder,Hinge,Weekly,02.00.00,Social Interaction,3,None,AI Recommendations,Text,Personality , Interests , Values
63,21,Female,Chennai,Graduate,Part-time Job,OkCupid,Tinder,Daily,01.30.00,Social Interaction,4,Time-Wasting,AI Recommendations,Text,Personality , Interests , Values
64,20,Female,Delhi,Postgraduate,Intern,NA,OkCupid,Monthly,1.00.00,Finding a Partner,5,Time-Wasting,AI Recommendations,Voice Notes,Appearance , Interests , Personality
65,23,Male,Kolkata,Graduate,Intern,Hinge,Bumble,Weekly,02.00.00,Casual Dating,4,Safety Concerns,Audio Calls,Video Calls,Personality , Interests , Values
66,22,Male,Chennai,Undergraduate,Part-time Job,Bumble,OkCupid,Monthly,01.30.00,Social Interaction,5,Safety Concerns,Audio Calls,Video Calls,Values , Personality , Appearance
67,18,Female,Pune,Postgraduate,Intern,NA,Hinge,Daily,02.00.00,Casual Fun,2,Safety Concerns,AI Recommendations,Text,Appearance , Interests , Personality
68,22,Male,Bangalore,Graduate,Full-time Job,OkCupid,None,Daily,1.00.00,Finding a Partner,1,None,AI Recommendations,Voice Notes,Appearance , Interests , Personality
69,24,Female,Delhi,Graduate,Intern,Hinge,Bumble,Monthly,03.00.00,Finding a Partner,4,Safety Concerns,Audio Calls,Text,Personality , Interests , Values
70,18,Male,Hyderabad,Postgraduate,Intern,Bumble,Tinder,Daily,03.00.00,Casual Dating,2,Safety Concerns,Detailed Profiles,Text,Appearance , Interests , Personality
71,19,Male,Bangalore,Postgraduate,Part-time Job,NA,Hinge,Monthly,02.00.00,Casual Dating,4,Safety Concerns,Video Calls,Voice Notes,Values , Personality , Appearance
72,19,Male,Kolkata,Graduate,Intern,Bumble,OkCupid,Daily,02.00.00,Casual Fun,1,None,Audio Calls,Text,Personality , Interests , Values
73,25,Others,Delhi,Postgraduate,Part-time Job,Hinge,Hinge,Daily,03.00.00,Finding a Partner,2,Safety Concerns,Audio Calls,Video Calls,Values , Personality , Appearance
74,25,Female,Bangalore,Graduate,Student,NA,OkCupid,Weekly,03.00.00,Finding a Partner,4,None,Video Calls,Video Calls,Appearance , Interests , Personality
75,19,Female,Chennai,Undergraduate,Intern,OkCupid,None,Daily,00.30.00,Finding a Partner,2,Lack of Genuine Matches,AI Recommendations,Text,Personality , Interests , Values
76,22,Male,Chennai,Undergraduate,Full-time Job,Tinder,Hinge,Monthly,00.30.00,Finding a Partner,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values , Personality , Appearance
77,23,Male,Mumbai,Postgraduate,Part-time Job,NA,Bumble,Weekly,01.30.00,Casual Fun,4,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance , Interests , Personality
78,25,Others,Delhi,Postgraduate,Full-time Job,Hinge,None,Daily,01.30.00,Casual Fun,1,Lack of Genuine Matches,Detailed Profiles,Text,Appearance , Interests , Personality
79,23,Female,Pune,Postgraduate,Student,OkCupid,Bumble,Monthly,1.00.00,Casual Dating,5,Safety Concerns,Audio Calls,Voice Notes,Appearance , Interests , Personality
80,24,Male,Bangalore,Postgraduate,Freelancer,Hinge,Bumble,Monthly,00.30.00,Social Interaction,5,Time-Wasting,AI Recommendations,Text,Values , Personality , Appearance
81,18,Female,Delhi,Undergraduate,Freelancer,NA,OkCupid,Monthly,1.00.00,Casual Fun,1,None,Detailed Profiles,Video Calls,Appearance , Interests , Personality
82,18,Male,Chennai,Graduate,Freelancer,OkCupid,Bumble,Daily,1.00.00,Social Interaction,2,Safety Concerns,Audio Calls,Voice Notes,Appearance , Interests , Personality
83,18,Male,Mumbai,Undergraduate,Intern,OkCupid,Bumble,Daily,02.00.00,Social Interaction,1,Safety Concerns,Detailed Profiles,Text,Appearance , Interests , Personality
84,22,Others,Hyderabad,Postgraduate,Part-time Job,Hinge,Tinder,Weekly,01.30.00,Finding a Partner,1,Time-Wasting,Detailed Profiles,Video Calls,Appearance , Interests , Personality
85,18,Others,Pune,Undergraduate,Intern,Bumble,Tinder,Weekly,02.00.00,Social Interaction,1,Time-Wasting,Detailed Profiles,Video Calls,Appearance , Interests , Personality
86,20,Female,Delhi,Postgraduate,Student,Hinge,None,Monthly,1.00.00,Social Interaction,5,Time-Wasting,Detailed Profiles,Voice Notes,Values , Personality , Appearance
87,21,Others,Pune,Graduate,Freelancer,Bumble,Hinge,Monthly,03.00.00,Casual Dating,5,Time-Wasting,Audio Calls,Voice Notes,Values , Personality , Appearance
88,23,Male,Delhi,Graduate,Intern,NA,None,Daily,1.00.00,Social Interaction,2,Time-Wasting,Detailed Profiles,Voice Notes,Appearance , Interests , Personality
89,22,Others,Hyderabad,Postgraduate,Full-time Job,Tinder,Hinge,Daily,03.00.00,Finding a Partner,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance , Interests , Personality
90,24,Male,Hyderabad,Graduate,Full-time Job,OkCupid,Hinge,Weekly,03.00.00,Casual Fun,5,None,AI Recommendations,Video Calls,Personality , Interests , Values
91,18,Female,Mumbai,Postgraduate,Intern,Tinder,OkCupid,Daily,02.00.00,Social Interaction,4,Time-Wasting,AI Recommendations,Voice Notes,Appearance , Interests , Personality
92,21,Male,Hyderabad,Undergraduate,Full-time Job,Hinge,Tinder,Monthly,02.00.00,Finding a Partner,1,Time-Wasting,AI Recommendations,Voice Notes,Values , Personality , Appearance
93,22,Others,Pune,Graduate,Full-time Job,Tinder,OkCupid,Weekly,00.30.00,Casual Dating,2,Lack of Genuine Matches,Video Calls,Voice Notes,Values , Personality , Appearance
94,21,Others,Chennai,Graduate,Part-time Job,OkCupid,Tinder,Monthly,03.00.00,Casual Dating,3,None,Detailed Profiles,Text,Values , Personality , Appearance
95,23,Female,Mumbai,Undergraduate,Full-time Job,OkCupid,None,Monthly,03.00.00,Social Interaction,2,Time-Wasting,Detailed Profiles,Video Calls,Appearance , Interests , Personality
96,20,Female,Delhi,Postgraduate,Student,OkCupid,Tinder,Daily,02.00.00,Finding a Partner,4,Time-Wasting,Video Calls,Voice Notes,Personality , Interests , Values
97,23,Female,Delhi,Undergraduate,Part-time Job,Hinge,Bumble,Daily,01.30.00,Finding a Partner,5,Time-Wasting,Video Calls,Voice Notes,Values , Personality , Appearance
98,22,Male,Chennai,Graduate,Part-time Job,OkCupid,None,Daily,00.30.00,Finding a Partner,1,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality , Interests , Values
99,20,Male,Kolkata,Undergraduate,Freelancer,OkCupid,Hinge,Daily,01.30.00,Casual Dating,2,None,Detailed Profiles,Voice Notes,Personality , Interests , Values
100,20,Male,Hyderabad,Graduate,Part-time Job,OkCupid,OkCupid,Weekly,03.00.00,Finding a Partner,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality , Interests , Values
101,19,Others,Hyderabad,Undergraduate,Freelancer,Tinder,Bumble,Daily,01.30.00,Casual Fun,4,Lack of Genuine Matches,Audio Calls,Text,Values , Personality , Appearance
102,19,Male,Kolkata,Graduate,Student,OkCupid,OkCupid,Weekly,03.00.00,Finding a Partner,5,Time-Wasting,Video Calls,Video Calls,Appearance , Interests , Personality
103,25,Male,Delhi,Postgraduate,Part-time Job,OkCupid,Tinder,Monthly,00.30.00,Social Interaction,3,Safety Concerns,Location-Based Matching,Text,Appearance , Interests , Personality
104,20,Female,Chennai,Undergraduate,Freelancer,Hinge,OkCupid,Monthly,1.00.00,Finding a Partner,4,None,Video Calls,Voice Notes,Values , Personality , Appearance
105,25,Male,Delhi,Undergraduate,Student,Hinge,Bumble,Monthly,01.30.00,Finding a Partner,4,None,Location-Based Matching,Text,Appearance , Interests , Personality
106,25,Female,Delhi,Graduate,Freelancer,Tinder,Bumble,Weekly,02.00.00,Casual Fun,3,Safety Concerns,Video Calls,Video Calls,Appearance , Interests , Personality
107,25,Male,Mumbai,Graduate,Intern,Tinder,OkCupid,Daily,00.30.00,Casual Fun,5,Safety Concerns,Location-Based Matching,Text,Appearance , Interests , Personality
108,21,Male,Kolkata,Undergraduate,Freelancer,OkCupid,Hinge,Daily,01.30.00,Casual Dating,2,None,Location-Based Matching,Video Calls,Personality , Interests , Values
109,18,Male,Bangalore,Undergraduate,Freelancer,OkCupid,Tinder,Monthly,02.00.00,Social Interaction,1,Time-Wasting,Audio Calls,Video Calls,Personality , Interests , Values
110,25,Male,Bangalore,Graduate,Freelancer,NA,Tinder,Daily,02.00.00,Casual Fun,2,Lack of Genuine Matches,Audio Calls,Video Calls,Personality , Interests , Values
111,24,Male,Bangalore,Undergraduate,Full-time Job,OkCupid,Tinder,Weekly,02.00.00,Finding a Partner,2,Safety Concerns,Location-Based Matching,Video Calls,Appearance , Interests , Personality
112,18,Female,Pune,Undergraduate,Freelancer,Hinge,OkCupid,Weekly,01.30.00,Casual Dating,4,Lack of Genuine Matches,Detailed Profiles,Text,Values , Personality , Appearance
113,23,Others,Chennai,Undergraduate,Intern,Hinge,Bumble,Daily,1.00.00,Casual Dating,3,Time-Wasting,Location-Based Matching,Video Calls,Personality , Interests , Values
114,19,Male,Chennai,Postgraduate,Intern,OkCupid,Hinge,Weekly,1.00.00,Casual Dating,1,Time-Wasting,Location-Based Matching,Video Calls,Appearance , Interests , Personality
115,23,Male,Hyderabad,Graduate,Freelancer,Tinder,None,Monthly,02.00.00,Casual Dating,1,None,Location-Based Matching,Video Calls,Values , Personality , Appearance
116,24,Others,Kolkata,Postgraduate,Full-time Job,Tinder,Tinder,Weekly,01.30.00,Casual Dating,1,Lack of Genuine Matches,Video Calls,Video Calls,Values , Personality , Appearance
117,24,Female,Delhi,Undergraduate,Intern,Bumble,OkCupid,Daily,02.00.00,Finding a Partner,3,Lack of Genuine Matches,AI Recommendations,Text,Values , Personality , Appearance
118,25,Others,Chennai,Undergraduate,Freelancer,Tinder,Tinder,Monthly,00.30.00,Casual Fun,3,Time-Wasting,Detailed Profiles,Voice Notes,Personality , Interests , Values
119,19,Male,Delhi,Postgraduate,Intern,Tinder,Hinge,Monthly,03.00.00,Casual Fun,5,None,Detailed Profiles,Video Calls,Personality , Interests , Values
120,21,Others,Chennai,Postgraduate,Freelancer,Hinge,Hinge,Monthly,02.00.00,Casual Fun,1,Time-Wasting,Location-Based Matching,Voice Notes,Personality , Interests , Values
121,25,Others,Delhi,Graduate,Student,NA,None,Daily,1.00.00,Social Interaction,4,Safety Concerns,AI Recommendations,Text,Values , Personality , Appearance
122,24,Others,Bangalore,Postgraduate,Intern,NA,OkCupid,Monthly,00.30.00,Casual Dating,4,Safety Concerns,Detailed Profiles,Video Calls,Personality , Interests , Values
123,19,Others,Bangalore,Graduate,Intern,Bumble,Bumble,Monthly,01.30.00,Casual Fun,3,Safety Concerns,Detailed Profiles,Video Calls,Values , Personality , Appearance
124,20,Others,Bangalore,Undergraduate,Intern,Hinge,Tinder,Monthly,02.00.00,Casual Fun,4,Time-Wasting,Location-Based Matching,Text,Appearance , Interests , Personality
125,18,Others,Delhi,Postgraduate,Freelancer,Tinder,Tinder,Daily,01.30.00,Finding a Partner,3,Time-Wasting,Video Calls,Video Calls,Values , Personality , Appearance
126,21,Male,Chennai,Graduate,Part-time Job,OkCupid,Hinge,Monthly,00.30.00,Finding a Partner,5,Safety Concerns,Location-Based Matching,Text,Values , Personality , Appearance
127,22,Female,Mumbai,Postgraduate,Student,Hinge,None,Monthly,03.00.00,Finding a Partner,3,Safety Concerns,Detailed Profiles,Text,Personality , Interests , Values
128,24,Male,Pune,Postgraduate,Student,Hinge,None,Weekly,1.00.00,Finding a Partner,2,Time-Wasting,Detailed Profiles,Video Calls,Values , Personality , Appearance
129,25,Female,Mumbai,Postgraduate,Student,NA,Hinge,Monthly,1.00.00,Casual Dating,1,Safety Concerns,Audio Calls,Video Calls,Personality , Interests , Values
130,23,Male,Mumbai,Postgraduate,Freelancer,Hinge,Hinge,Monthly,00.30.00,Casual Dating,4,Time-Wasting,Video Calls,Text,Appearance , Interests , Personality
131,20,Female,Chennai,Graduate,Part-time Job,Bumble,None,Daily,02.00.00,Finding a Partner,4,None,Video Calls,Video Calls,Appearance , Interests , Personality
132,24,Others,Bangalore,Graduate,Part-time Job,Bumble,OkCupid,Monthly,01.30.00,Finding a Partner,1,Lack of Genuine Matches,Video Calls,Video Calls,Appearance , Interests , Personality
133,25,Others,Pune,Postgraduate,Intern,Bumble,Bumble,Monthly,00.30.00,Finding a Partner,2,Time-Wasting,Video Calls,Video Calls,Personality , Interests , Values
134,25,Female,Pune,Postgraduate,Part-time Job,NA,None,Daily,01.30.00,Casual Fun,3,Time-Wasting,Location-Based Matching,Voice Notes,Personality , Interests , Values
135,20,Female,Kolkata,Graduate,Intern,Hinge,Bumble,Daily,1.00.00,Finding a Partner,4,Time-Wasting,Detailed Profiles,Text,Appearance , Interests , Personality
136,24,Male,Kolkata,Undergraduate,Student,Bumble,Bumble,Daily,1.00.00,Finding a Partner,2,Lack of Genuine Matches,Location-Based Matching,Text,Personality , Interests , Values
137,18,Female,Chennai,Undergraduate,Part-time Job,Bumble,None,Daily,03.00.00,Casual Dating,5,Time-Wasting,Video Calls,Text,Appearance , Interests , Personality
138,18,Female,Bangalore,Undergraduate,Full-time Job,NA,OkCupid,Monthly,00.30.00,Casual Dating,4,Lack of Genuine Matches,Location-Based Matching,Text,Values , Personality , Appearance
139,23,Others,Delhi,Undergraduate,Student,OkCupid,None,Weekly,03.00.00,Casual Dating,5,None,Detailed Profiles,Video Calls,Personality , Interests , Values
140,18,Male,Chennai,Postgraduate,Student,Tinder,Hinge,Monthly,1.00.00,Finding a Partner,1,Time-Wasting,Location-Based Matching,Voice Notes,Values , Personality , Appearance
141,19,Others,Bangalore,Undergraduate,Part-time Job,NA,None,Daily,01.30.00,Casual Dating,1,None,Audio Calls,Text,Appearance , Interests , Personality
142,22,Male,Pune,Postgraduate,Intern,NA,OkCupid,Monthly,1.00.00,Social Interaction,3,Time-Wasting,Audio Calls,Video Calls,Values , Personality , Appearance
143,19,Male,Mumbai,Graduate,Freelancer,OkCupid,Hinge,Daily,00.30.00,Finding a Partner,3,Lack of Genuine Matches,Audio Calls,Text,Personality , Interests , Values
144,22,Female,Hyderabad,Undergraduate,Freelancer,OkCupid,None,Weekly,03.00.00,Finding a Partner,3,Time-Wasting,Location-Based Matching,Video Calls,Values , Personality , Appearance
145,24,Male,Chennai,Undergraduate,Freelancer,Tinder,OkCupid,Monthly,03.00.00,Social Interaction,3,Lack of Genuine Matches,Detailed Profiles,Video Calls,Personality , Interests , Values
146,18,Others,Kolkata,Postgraduate,Full-time Job,Hinge,Bumble,Weekly,02.00.00,Casual Dating,5,Lack of Genuine Matches,AI Recommendations,Voice Notes,Values , Personality , Appearance
147,23,Others,Hyderabad,Graduate,Full-time Job,Hinge,Tinder,Weekly,00.30.00,Casual Fun,5,Safety Concerns,Location-Based Matching,Voice Notes,Values , Personality , Appearance
148,23,Female,Delhi,Undergraduate,Student,NA,Bumble,Daily,03.00.00,Social Interaction,5,Safety Concerns,Audio Calls,Text,Appearance , Interests , Personality
149,22,Female,Bangalore,Graduate,Full-time Job,Hinge,Bumble,Monthly,01.30.00,Casual Dating,5,None,Audio Calls,Text,Appearance , Interests , Personality
150,19,Female,Hyderabad,Undergraduate,Student,Tinder,Hinge,Weekly,02.00.00,Social Interaction,1,Lack of Genuine Matches,AI Recommendations,Voice Notes,Values , Personality , Appearance
151,19,Male,Mumbai,Undergraduate,Intern,OkCupid,Hinge,Monthly,03.00.00,Social Interaction,2,Time-Wasting,Audio Calls,Video Calls,Values , Personality , Appearance
152,18,Others,Pune,Graduate,Freelancer,Bumble,Hinge,Daily,00.30.00,Social Interaction,2,Lack of Genuine Matches,Detailed Profiles,Voice Notes,Appearance , Interests , Personality
153,24,Female,Hyderabad,Graduate,Part-time Job,Tinder,Bumble,Monthly,03.00.00,Casual Fun,3,Lack of Genuine Matches,Audio Calls,Voice Notes,Personality , Interests , Values
154,23,Male,Delhi,Undergraduate,Freelancer,Hinge,Bumble,Monthly,02.00.00,Casual Dating,5,None,Location-Based Matching,Voice Notes,Appearance , Interests , Personality
155,18,Female,Bangalore,Graduate,Freelancer,Bumble,Hinge,Weekly,00.30.00,Casual Fun,4,Lack of Genuine Matches,Video Calls,Text,Personality , Interests , Values
156,18,Others,Pune,Graduate,Freelancer,Tinder,Bumble,Monthly,1.00.00,Social Interaction,3,Time-Wasting,Location-Based Matching,Video Calls,Appearance , Interests , Personality
157,22,Female,Hyderabad,Graduate,Full-time Job,Hinge,Tinder,Monthly,01.30.00,Social Interaction,3,None,Location-Based Matching,Text,Values , Personality , Appearance
158,25,Others,Hyderabad,Undergraduate,Part-time Job,OkCupid,Hinge,Daily,03.00.00,Social Interaction,3,None,AI Recommendations,Video Calls,Appearance , Interests , Personality
